Entid,T4_Payroll,PD7_AvgEmp_12,PD7_AvgEmp_NonZero,total_assets,total_liabilities,total_shareholder_equity,total_current_assets,total_tangible_assets,tot_acum_amort_tangible_assets,total_intangible_assets,tot_acum_amort_intang_assets,total_current_liabilities,land,buildings,machinery_and_equipment,total_revenue,total_expenses,farm_total_revenue,farm_total_expenses,farm_net_income,total_cost_of_sales,gross_profits,net_income_befor_taxextraitems,sales_goods_and_services,net_income_after_taxextraitems,opening_inventory,closing_inventory,total_operating_expenses,amortization_tangible_assets,amortization_intangible_assets,SRED_Expenditures,SRED_ITC_Earned,SRED_ITC_Current_at_35Percent,SRED_ITC_Capital_at_35Percent,SRED_ITC_Current_at_20Percent,SRED_ITC_Capital_at_20Percent,SRED_Deducted_PartI,SRED_from_partnership,SRED_refunded,SRED_carried_back_1year,SRED_carried_back_2years,SRED_carried_back_3years,OPAddressProvince,LegalTypeCode,NonProfitCode,NAICS,EntMultiEstablishmentFlag,EntMultiLocationFlag,EntMultiProvinceFlag,EntMultiActivityFlag,FiscalStartDate,FiscalEndDate,BirthDate,BusinessStatusCode,IncorporationDate,Purchases_cost_of_materials,capital_cost_allowance,NbBN_filedT4,NbBN_filedPD7,NbBN_filedT2,CCPC
11,3631936,432,499,6656711,2431230,1742045,3554699,4151768,213641,48182,149764,944845,426381,193669,392743,2873450,1376724,108461,386153,294882,431155,410430,74639,154756,351874,340377,74544,270252,482298,59061,367798,138328,49021,126912,347853,357671,316190,362179,166750,497195,245036,168965,SK,2,0,48,0,-1,0,0,2010-12-31,2011-12-31,1990-12-31,7,1990-12-31,428382,29014,9,1,2,0
12,1156083,908,602,4802547,187092,4531431,1567138,2561077,441054,237082,368549,53150,258071,238284,142990,8110648,1250257,199303,476143,426981,317278,342478,66273,378908,190532,239926,67870,442660,459684,34539,467571,486976,338160,120052,271334,94167,499163,220855,345877,87569,374455,315511,NU,6,2,91,-1,0,-1,-1,2011-12-31,2012-12-31,1991-12-31,1,1991-12-31,301306,60545,2,3,1,0
13,2132747,131,981,7392860,3458336,2092514,4790914,638464,165259,146046,301741,4386990,112808,29732,2331,6697596,2203835,406717,295007,424214,20701,177427,499611,67807,180418,75006,416446,256209,314059,374805,234168,281972,210933,47687,115898,197713,72641,16183,217863,159427,287048,401288,NT,9,0,93,0,-1,0,0,2012-12-31,2013-12-31,1992-12-31,1,1992-12-31,39119,356470,8,2,8,0
14,1786773,665,753,5125034,1708179,3661669,3242862,3354144,407239,243660,31590,436617,264419,234435,310163,7552061,790040,38194,433059,14843,337893,264833,311392,275046,445368,51973,410719,146203,24589,368639,336673,419873,74441,296909,141560,462804,485554,128595,351974,66144,380028,266256,NT,3,1,69,-1,0,0,0,2013-12-31,2014-12-31,1993-12-31,1,1993-12-31,109196,20801,2,5,9,1
15,694908,166,817,5919070,2678530,1343512,1680885,4329075,13895,242083,225871,140745,184630,245916,336425,316612,2680105,196340,492945,305233,345114,466659,19629,235499,226041,289411,243664,27202,480719,107271,406802,499597,280773,318606,239115,409716,80297,266348,120657,223280,137472,305072,AB,9,1,17,0,0,0,0,2014-12-31,2015-12-31,1994-12-31,4,1994-12-31,29670,367447,6,1,9,1
16,4592605,995,386,4023937,4885968,100234,368465,1002074,435457,36268,305598,1112759,131294,302049,286020,8987547,3331889,499720,371300,427661,392347,449105,411592,460853,69698,224807,384902,366518,315453,88259,339946,97455,496257,43574,248204,195719,236266,197982,108826,484316,407708,30608,NT,1,0,81,0,-1,-1,0,2015-12-31,2016-12-31,1995-12-31,7,1995-12-31,302271,173126,4,1,7,0
17,4696994,437,167,1017162,1473930,2169176,3454572,1168348,208289,262751,69639,2655307,422430,454097,116698,3959219,1579027,471421,341907,341292,418589,54222,278313,221784,41157,332509,108005,175069,219195,363664,12877,283242,248487,475492,281607,233718,267308,109280,131512,88390,247994,102107,NL,2,1,51,0,0,0,-1,2016-12-31,2017-12-31,1996-12-31,7,1996-12-31,217857,77016,8,5,7,1
18,135543,260,415,6873418,2359249,739049,203882,1452189,322996,19399,238505,3060477,413993,296403,12124,5944757,2764061,7624,225972,87118,426676,415294,162792,348934,423726,182284,306140,378116,85369,373498,78334,25750,488195,84557,439937,226133,281817,314548,344791,440153,101042,457058,BC,4,2,23,0,-1,0,0,2017-12-31,2018-12-31,1997-12-31,5,1997-12-31,495505,24207,7,6,8,0
19,3862134,353,188,6390574,4689853,4019232,1822829,2885529,385663,87560,36203,2741818,441203,302179,468210,823611,4106549,498795,44637,275997,342315,30869,368324,408888,92452,402993,374551,29601,435230,498263,369397,355690,302014,282145,400562,117840,70411,422017,170481,374504,47867,353256,YT,2,0,19,-1,0,-1,-1,2018-12-31,2019-12-31,1998-12-31,4,1998-12-31,240337,357857,6,6,5,0
20,193779,19,579,1021188,3193215,4113339,4011305,3721383,82722,40210,183010,4582779,377689,87847,328919,5880251,1510658,267821,455409,74491,65734,104665,417737,385347,493253,100387,422382,286250,267129,205802,299221,71195,103282,79707,386706,100392,1544,178200,160204,148677,51973,285450,NB,6,1,31,-1,0,0,-1,2019-12-31,2020-12-31,1999-12-31,5,1999-12-31,234989,304398,8,2,5,0
21,1037669,434,421,9333048,1302083,2319214,2181745,693429,88248,279785,367168,2747913,108182,217412,120001,7713859,868893,369166,146017,350032,19757,375420,284343,44933,436344,185131,146131,83572,104393,183693,216134,23551,307419,370968,304204,83879,219376,4009,114681,155985,299713,190438,PE,4,0,24,0,0,-1,-1,2020-12-31,2021-12-31,2000-12-31,4,2000-12-31,180284,497935,1,7,3,0
22,772876,882,718,3371827,292470,3717653,675010,2735157,266537,221458,421874,1655485,110752,192115,496549,4770018,2340439,68084,399004,405282,31901,316052,166609,8140,313076,440010,343475,455254,298568,350852,221196,115352,397897,441902,216643,34557,425457,448804,278486,245184,20196,46787,NT,3,1,21,-1,0,-1,-1,2021-12-31,2022-12-31,2001-12-31,2,2001-12-31,247450,244961,9,1,8,1
23,4332695,886,902,292367,2080292,3277295,1146655,3962360,450413,395176,269270,3198656,255220,108738,169619,4349760,1229871,70656,302190,412023,210613,73452,29297,339264,463517,172213,436672,406367,261555,77831,20668,211088,254758,496853,438222,300098,117039,388815,345612,482672,88793,19261,ON,4,0,39,-1,-1,-1,0,2022-12-31,2023-12-31,2002-12-31,6,2002-12-31,327322,210087,9,3,7,0
24,4737840,157,901,1551363,872734,671076,2863196,843042,362414,378927,424675,2033915,255736,72476,45086,9739561,1178425,238029,52278,159640,372209,297925,107263,203391,78044,324828,92385,303083,211097,61981,275826,183604,413253,70910,1315,278466,50636,110127,141483,338218,77930,307568,NT,4,2,53,0,0,-1,0,2023-12-31,2024-12-31,2003-12-31,6,2003-12-31,402815,225418,7,1,5,0
25,4507323,195,152,799914,4268846,2945179,468663,687675,392263,133283,58128,741685,463007,224695,77627,3156632,518841,422992,342034,310840,317072,447179,24231,419887,315255,251923,226159,80340,481442,21890,3551,330139,203356,157556,94596,191637,331778,299030,372644,115852,29616,448685,NS,2,0,58,-1,-1,-1,-1,2024-12-31,2025-12-31,2004-12-31,4,2004-12-31,71092,287193,5,3,2,1
26,2898997,755,941,1892755,2561743,722675,4120034,4287360,140816,199082,235097,4883974,180662,477711,292156,8629234,1242339,25460,263369,329279,301733,23248,430741,491917,64196,466343,311401,26208,352393,201611,81380,407232,276904,160382,181119,364618,227322,336007,30442,66516,404022,470555,NB,9,1,25,0,-1,-1,0,2025-12-31,2026-12-31,2005-12-31,0,2005-12-31,140934,68501,7,5,8,1
27,3150868,520,155,7870569,2384999,428007,704293,2360624,307534,291387,337371,2355743,412626,339211,105279,963820,1918306,282395,226844,73621,257611,179466,303449,311870,347679,238255,333763,267418,489887,462099,405605,219626,186447,206003,236907,186063,121746,93629,245504,237137,110376,474780,NT,9,1,41,-1,-1,0,0,2026-12-31,2027-12-31,2006-12-31,5,2006-12-31,397225,468340,7,5,8,0
28,3656844,132,398,7132610,4045981,3932233,3015924,729650,302511,341934,25697,3818574,133099,140881,293405,9925806,1899326,158727,226513,278319,364427,319883,441121,49498,157082,404088,139182,262365,28593,287769,499135,95352,283090,34432,261080,8707,482458,33001,126094,411539,79708,399452,NL,6,2,16,-1,-1,-1,-1,2027-12-31,2028-12-31,2007-12-31,7,2007-12-31,338466,412985,8,3,5,0
29,2110313,43,229,9739373,2772970,3310312,2082165,1665395,238349,34871,478992,4965231,114557,40954,127016,9645611,2118024,355673,253443,162261,464611,484989,314107,353563,198132,129588,434084,98486,196824,414240,446996,457649,49145,202012,489381,98719,299071,194713,336909,325923,455205,359411,SK,3,2,94,0,0,0,-1,2028-12-31,2029-12-31,2008-12-31,2,2008-12-31,188595,191944,8,7,8,1
30,3629312,730,652,3087030,4960274,4437991,1557596,1816006,450133,76979,380093,2626247,115010,359978,315052,6878214,1703410,441542,462829,483404,294834,8707,30840,25859,486668,291397,135771,375832,250738,198415,237880,358549,317390,335186,342392,42345,418944,106822,184532,90850,103472,380105,ON,4,0,56,0,-1,-1,-1,2029-12-31,2030-12-31,2009-12-31,5,2009-12-31,345836,30533,3,7,6,0
31,4526706,609,611,6072169,944710,4865584,443435,2306187,340795,245367,244691,2462623,175980,57045,354214,8328642,3419663,350470,279916,400128,296798,197882,205916,212458,80845,493571,13807,242652,429784,173932,264652,108782,407795,313972,260316,26831,341981,380714,57282,415925,125400,269003,SK,4,0,31,0,0,0,0,2030-12-31,2031-12-31,2010-12-31,1,2010-12-31,376775,91809,7,8,7,1
32,2497913,882,276,6244292,4886658,803260,3953562,1618075,14232,7473,498764,4787523,445369,124497,56179,3052263,3099287,327064,237856,333578,309715,108058,389004,334984,480620,88055,347749,35121,323894,472156,14642,44447,13523,229167,215049,275325,468434,321330,26557,211998,131724,285654,BC,5,1,16,-1,0,-1,0,2031-12-31,2032-12-31,2011-12-31,0,2011-12-31,411984,434050,4,6,7,1
33,1704898,856,762,9910007,860141,331545,2935767,2213911,122809,52889,56037,1042520,139398,280646,322729,9262494,3169237,50963,103305,478030,91158,288628,428037,229892,230699,463359,10298,125783,37642,448650,293698,230789,468383,88881,98591,277491,28606,272460,489131,16116,433766,114614,SK,2,2,14,0,-1,0,0,2032-12-31,2033-12-31,2012-12-31,6,2012-12-31,91761,231525,6,4,7,0
34,3023053,913,633,9672054,4870740,4766495,3523206,3153403,404020,443430,378648,3211023,368577,429018,316873,5483826,4506644,57659,181351,317440,86395,486860,288178,389268,444218,99085,125397,28629,422735,155871,413231,280372,323096,311885,492891,492666,227114,350363,176525,312107,177092,258627,NT,6,2,17,0,0,0,-1,2033-12-31,2034-12-31,2013-12-31,0,2013-12-31,321501,309815,1,9,7,0
35,1146703,533,312,421569,3184891,3953224,932809,1246938,445624,423248,176443,2042171,389752,270541,84008,5802042,2843353,449510,454121,249885,380702,193084,258447,46044,281815,204474,312025,303607,450081,240168,104806,137669,125945,89509,85491,252217,239189,80705,197711,486153,472118,96672,NS,1,0,46,-1,0,-1,-1,2034-12-31,2035-12-31,2014-12-31,4,2014-12-31,342462,229405,6,5,8,1
36,4864182,393,716,7536283,650978,3226279,82640,633251,265977,386737,215350,3292658,412286,113145,488468,3170606,3232294,55250,411144,474936,165123,232112,167965,423065,47085,223176,346545,397371,83198,406544,307115,119888,69709,89191,499374,411167,334516,441365,229900,478615,449069,412784,NT,3,1,29,0,0,-1,-1,2035-12-31,2036-12-31,2015-12-31,7,2015-12-31,43048,119062,1,6,8,0
37,1789782,773,194,240691,2222537,1059169,3321070,3236319,293779,443040,178000,4307594,233317,321787,108717,4945562,2605724,458261,497135,328964,234497,50052,369729,174977,274646,345797,17490,484163,469091,375333,424304,315706,187211,251871,374081,343939,44622,241436,227375,450989,280434,434641,NS,9,1,18,0,-1,-1,-1,2036-12-31,2037-12-31,2016-12-31,5,2016-12-31,157432,114736,3,9,1,1
38,3193527,946,142,2401882,488003,543842,2484221,1231353,32015,395202,58238,4449957,178190,198893,454499,1020411,1209158,252250,240335,173337,468995,287036,134045,464589,360329,379378,199464,105464,389180,17327,59211,322660,273794,65193,459566,251477,200061,292319,98359,120276,251386,70928,MB,6,1,21,0,-1,0,0,2037-12-31,2038-12-31,2017-12-31,5,2017-12-31,27478,78636,1,6,3,1
39,3213685,864,321,8965120,171251,4336805,3345099,2497726,469396,145524,39204,3206084,169263,265361,473668,4595874,3474111,388239,355401,90770,32350,492142,280748,499444,277452,270494,61828,72136,325416,227999,239248,498388,91575,322703,47394,173827,445631,498074,405756,216177,188549,137875,NU,9,2,36,0,0,0,0,2038-12-31,2039-12-31,2018-12-31,3,2018-12-31,30559,1563,4,8,1,1
40,4962659,217,67,3001732,1247606,2441249,2655504,4866737,291707,447948,390249,4636751,134638,247487,367716,3957142,1259145,230990,332936,25007,311120,301100,489976,288298,365307,428490,160648,411347,4464,233382,35352,3654,490561,431418,493599,262370,112533,283683,248413,84746,280773,431050,AB,4,1,39,0,0,0,-1,2039-12-31,2040-12-31,2019-12-31,6,2019-12-31,167066,24353,8,3,6,1
41,1193056,403,347,8057602,784874,3521319,3490035,4544774,178049,263568,379146,2272250,406850,245261,111012,122056,190260,113153,137803,166731,197619,436804,129878,178359,413687,350169,93072,233174,88531,24465,350861,304989,163952,328971,170564,237581,346318,111257,447295,343748,421493,325300,PE,9,2,88,-1,0,-1,0,2040-12-31,2041-12-31,2020-12-31,3,2020-12-31,138868,354204,3,3,4,1
42,4855283,76,237,7078079,2896215,2586586,2534911,2025287,21715,370559,61915,4785652,338904,51978,136784,9205539,1356989,197742,411679,335203,337535,495447,207648,69879,7495,88936,485967,405148,23400,27114,143670,359743,175171,72442,48393,227550,332120,5409,483238,467920,233343,322689,YT,3,0,39,0,0,0,-1,2041-12-31,2042-12-31,2021-12-31,7,2021-12-31,166531,183451,4,6,3,1
43,2227252,982,484,5709644,4225405,4453064,2079372,131629,112905,363120,435563,112222,146832,252684,380371,3109762,3557256,200736,380897,348867,464354,422241,129918,411708,389763,13579,143484,156884,156454,260184,447064,246133,439711,483642,10020,431581,201607,195352,269233,53107,443194,229501,NU,6,1,68,0,0,0,-1,2042-12-31,2043-12-31,2022-12-31,7,2022-12-31,186201,252026,7,7,1,1
44,4927619,945,313,1053335,3875705,610728,2545067,2988836,150748,390564,58925,112451,389462,1414,316731,9456415,628996,173148,54182,69443,89504,35857,360865,63687,215671,241592,384557,374844,282542,444277,455813,124325,496149,134207,42373,250933,438243,261689,444322,470267,451536,146554,SK,4,0,86,-1,-1,-1,0,2043-12-31,2044-12-31,2023-12-31,1,2023-12-31,265840,419662,3,2,8,1
45,3461122,635,533,5586927,783569,4183275,2787286,152439,393998,387998,42685,1499000,100003,499864,141909,1078146,2233087,359951,112679,297688,460764,450132,191579,416688,282507,10613,322035,318341,384004,391109,183983,351100,51564,90877,98053,80339,406837,452362,299266,325882,76145,391968,AB,1,2,47,-1,-1,-1,-1,2044-12-31,2045-12-31,2024-12-31,7,2024-12-31,409134,452141,2,6,2,1
46,2458653,193,816,9268646,1400106,252303,2367657,175748,266022,298498,199631,3867000,81229,291816,27515,302827,1400681,406578,117388,41607,315952,232475,468194,165484,361441,422974,349041,194381,262361,352075,267540,91597,253054,345199,281382,95410,75647,225294,459891,393522,129904,397254,AB,2,1,15,0,0,0,0,2045-12-31,2046-12-31,2025-12-31,7,2025-12-31,149512,389201,7,9,7,1
47,4812508,976,225,3503275,4273161,4237093,1605996,210603,83667,406912,450417,3190104,404619,138683,88529,9431119,2470331,412053,384957,188347,239420,350687,125920,333663,216720,18955,281573,24914,20755,83994,124145,348522,244595,414005,298321,191046,155499,202520,399385,56012,358137,338722,NT,3,2,82,-1,-1,-1,-1,2046-12-31,2047-12-31,2026-12-31,2,2026-12-31,67442,153193,1,9,7,0
48,4935439,502,803,7701320,2288308,4092040,2328042,3530787,107066,60429,470426,2790901,152603,167326,224145,1484894,618484,258335,60058,445041,452590,207869,440552,261210,185861,153458,218651,389414,103441,111676,244036,486709,149189,335705,67104,51693,492050,288530,302181,275075,283939,459314,NT,9,2,87,-1,0,0,0,2047-12-31,2048-12-31,2027-12-31,0,2027-12-31,133097,437886,7,4,7,1
49,4569250,412,490,8793674,1895270,1516684,790278,2632838,199055,408784,57831,1322872,154186,34263,96822,5622001,3720530,188961,157212,1276,48419,336157,356384,410567,325305,396476,58801,164635,152212,484493,94500,472384,385252,248877,185439,189461,285541,307999,478458,15290,381655,121749,YT,4,1,60,0,-1,-1,-1,2048-12-31,2049-12-31,2028-12-31,5,2028-12-31,5889,421750,2,5,1,1
50,4892829,968,657,1447822,1735566,526367,896506,3391295,370543,407198,437786,335313,331687,305101,461962,3761774,4768277,65672,81864,203731,344192,112059,4774,275832,497621,354763,346555,169727,314898,77028,189107,116165,237604,451741,296438,375826,397667,61559,395882,142283,296366,43601,MB,1,2,34,0,-1,0,0,2049-12-31,2050-12-31,2029-12-31,1,2029-12-31,423970,449410,3,8,6,1
51,3787019,938,657,2675776,2462180,2966803,4353947,2385178,419772,33351,423813,3791608,401052,299133,275418,918124,463106,150202,402999,474708,152955,11947,255733,314710,226495,422350,172620,357180,334141,51285,383611,499931,304249,492873,97498,73933,291698,394890,465433,393997,392764,425045,YT,6,1,77,0,-1,-1,0,2050-12-31,2051-12-31,2030-12-31,7,2030-12-31,210613,452722,1,9,5,0
52,488884,264,415,9681777,4577957,4641691,2170333,1781567,258247,490436,162306,1113640,68958,488176,150735,1867934,198368,57789,259849,166471,286067,65157,236346,132221,117991,493852,49430,73541,257699,70491,77190,309168,262875,10569,49198,478883,118804,274483,385836,351542,160788,270979,NB,1,0,43,-1,-1,0,-1,2051-12-31,2052-12-31,2031-12-31,4,2031-12-31,114037,348929,8,8,3,0
53,1525079,192,731,6543095,2781143,1578422,599010,2093551,316615,321420,322280,4955693,119402,121523,303613,1752488,1406452,121394,255637,446618,85275,59180,197580,393417,204698,177630,201939,252403,11563,286924,439002,425429,208522,294294,8834,26849,115539,112875,162966,312741,288702,395609,NB,2,1,18,-1,-1,0,0,2052-12-31,2053-12-31,2032-12-31,4,2032-12-31,193243,308958,3,7,2,0
54,3846234,701,951,2287959,3980859,3467884,3500379,630845,414282,193514,275745,1699417,161581,373812,230903,5546580,3409577,218208,189921,378344,76337,281750,382260,95485,344795,410106,169026,482255,322825,394167,124628,489283,89788,356889,435207,369984,114289,342138,199491,387365,210154,237645,BC,5,1,65,0,-1,0,0,2053-12-31,2054-12-31,2033-12-31,2,2033-12-31,350701,196534,6,5,7,1
55,3419847,494,906,5405692,3545043,2521049,3218625,706750,336492,188898,64349,1685133,44284,245313,102468,4767627,1932230,41861,198828,36127,68504,381914,33329,76019,60631,114201,484383,161328,70884,242691,160927,299171,353004,404746,314810,88744,89961,460550,451225,417399,86465,147728,NT,5,0,40,-1,0,-1,0,2054-12-31,2055-12-31,2034-12-31,0,2034-12-31,496600,57468,9,6,7,0
56,2511789,684,552,6351488,3402448,968014,1739226,2475689,75377,158971,286438,4923102,489247,170495,110889,9769412,2825805,7623,190270,403019,291989,371918,70945,150679,255822,270860,439261,256742,52619,103722,25891,269234,163770,4557,265593,12382,295973,290081,94656,40858,329295,323693,NT,1,0,65,0,0,0,-1,2055-12-31,2056-12-31,2035-12-31,4,2035-12-31,497882,315577,2,2,1,0
57,2874632,58,39,4590912,352287,2122432,4405196,3050887,336579,400210,125790,4418853,334556,115328,301733,1327488,4640289,255312,138746,277090,484953,329515,102044,226650,155419,346346,172484,277328,71677,236294,377775,31621,250472,479288,460146,305069,10956,320881,392551,159765,57290,386672,AB,1,1,32,-1,-1,0,0,2056-12-31,2057-12-31,2036-12-31,7,2036-12-31,43305,95258,4,6,3,1
58,1937184,478,861,3202663,2363159,4773694,2049433,3303177,394417,395463,247490,157405,254755,144919,239288,1919533,2209829,129943,102165,263817,133855,336514,93765,158935,270452,63625,192759,121503,224757,290024,311297,334813,311429,344266,460842,217343,407898,455794,416247,181935,87017,430462,AB,3,1,21,0,0,-1,0,2057-12-31,2058-12-31,2037-12-31,6,2037-12-31,219674,455235,4,3,6,1
59,3403290,40,738,5289128,2176013,1982468,4222126,2399654,368636,223369,264217,4189795,109934,413465,131841,3367632,4975827,162111,335013,352894,110104,491417,474562,317929,123043,225566,299515,389253,435141,454965,91164,424987,30436,66088,285607,119449,149786,229606,224797,265478,106656,241747,NT,5,0,35,-1,-1,0,-1,2058-12-31,2059-12-31,2038-12-31,3,2038-12-31,368106,246688,7,4,1,0
60,1605854,901,948,7756464,3792952,4119296,1602100,4957717,188383,63191,195420,3580098,212098,325086,5306,6450720,2684284,419554,487460,48224,135538,436753,332619,482039,103634,245502,93608,29983,489427,128292,434222,32597,423479,132703,122564,223701,143102,23880,178849,180016,112347,442779,QC,3,2,38,-1,-1,0,-1,2059-12-31,2060-12-31,2039-12-31,3,2039-12-31,181548,283138,3,3,7,0
61,3963028,172,417,6590271,4434775,2528092,2936907,1434450,280870,343727,433406,811034,142428,335054,449783,4288986,283018,184434,289927,360197,370137,85642,293630,201624,116984,429292,460605,72253,274197,371583,136862,182811,275013,296960,112704,47270,81614,331638,313679,440750,355784,104204,NS,1,1,23,0,0,0,-1,2060-12-31,2061-12-31,2040-12-31,2,2040-12-31,331339,236274,3,1,4,0
62,3946852,602,463,8375206,2041707,1621857,3761242,290369,375353,345753,79229,4613762,48668,61124,66704,5164847,2562584,418509,426699,324499,245756,284233,225164,273334,150192,330969,141079,171290,268023,52903,428719,498491,205888,397218,216853,349641,374313,443217,153189,494022,250393,470310,SK,6,2,24,-1,0,0,-1,2061-12-31,2062-12-31,2041-12-31,5,2041-12-31,265243,212627,7,2,4,1
63,3025907,99,467,4580196,1268904,2628434,894700,3482076,435784,231526,398400,2232705,446922,10293,240235,9675332,238141,389018,303375,188074,35323,36177,316397,422769,405639,117211,79095,359189,197934,15023,134445,285246,33840,51439,312472,204647,179661,219989,81320,238968,4901,249110,QC,1,1,23,0,-1,0,0,2062-12-31,2063-12-31,2042-12-31,7,2042-12-31,224371,165870,2,4,1,0
64,1442464,895,469,7506700,2137423,3260302,2014180,1372743,297232,248829,70294,2038362,146885,335571,180225,7023076,4898267,292967,105542,284968,387197,264563,148488,231973,463821,114455,350098,464229,225470,345675,257430,412201,418791,328945,442542,427618,44140,374254,16715,59815,101584,25036,BC,3,1,37,-1,0,-1,-1,2063-12-31,2064-12-31,2043-12-31,0,2043-12-31,376180,385032,1,8,8,0
